game_id,date,opponent,is_home,leafs_score,opponent_score,result,total_goals,rest_days,opp_win_pct,opp_goals_per_game,opp_goals_against_per_game,opp_points,opp_l10_wins,leafs_standing_points,leafs_pp_pct,leafs_pk_pct,leafs_corsi_pct,leafs_fenwick_pct,leafs_pdo,leafs_shots_pg,leafs_shots_against_pg,leafs_faceoff_pct,leafs_save_pct,leafs_shooting_pct,leafs_zone_start_pct,opp_pp_pct,opp_pk_pct,opp_corsi_pct,opp_pdo,opp_save_pct
2017020617,2018-01-04,SJS,1,3,2,W,5,2,0.556,2.72,2.56,44,6,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2105,0.8409,0.5056,0.9945,0.9186
2017020637,2018-01-06,VAN,1,3,2,W,5,2,0.41,2.72,3.26,37,2,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2146,0.7826,0.4771,0.9933,0.9216
2017020652,2018-01-08,CBJ,1,2,3,L,5,2,0.55,2.83,2.85,47,3,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1713,0.751,0.5143,1.003,0.9281
2017020660,2018-01-10,OTT,1,3,4,L,7,2,0.324,2.65,3.46,32,3,48,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.166,0.7617,0.4718,0.9857,0.9082
2017020687,2018-01-16,STL,1,1,2,L,3,6,0.565,2.91,2.65,55,4,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1545,0.7965,0.5171,1.0004,0.9287
2017020698,2018-01-18,PHI,0,2,3,L,5,2,0.465,2.98,2.91,48,6,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1986,0.7621,0.4963,0.998,0.9193
2017020713,2018-01-20,OTT,0,4,3,W,7,2,0.357,2.79,3.55,39,4,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.166,0.7617,0.4718,0.9857,0.9082
2017020726,2018-01-22,COL,1,2,4,L,6,2,0.558,3.3,2.93,51,8,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.212,0.8333,0.4743,1.0123,0.9301
2017020744,2018-01-24,CHI,0,3,2,W,5,2,0.489,3.02,2.73,50,5,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1599,0.7915,0.5234,0.989,0.9177
2017020754,2018-01-25,DAL,0,4,1,W,5,1,0.556,3.02,2.76,53,7,53,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1926,0.8078,0.5102,1.0038,0.927
2017020773,2018-01-31,NYI,1,5,0,W,5,6,0.481,3.33,3.63,55,5,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.232,0.7319,0.4749,1.0049,0.9166
2017020779,2018-02-01,NYR,0,4,0,W,4,1,0.49,3.0,3.04,55,3,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2116,0.8138,0.4592,0.9975,0.9221
2017020794,2018-02-03,BOS,0,1,4,L,5,2,0.612,3.27,2.45,68,7,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.25,0.8244,0.5314,1.002,0.9224
2017020808,2018-02-05,ANA,1,7,4,W,11,2,0.481,2.79,2.77,60,6,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.177,0.8231,0.4879,1.0091,0.931
2017020823,2018-02-07,NSH,1,3,2,W,5,2,0.612,3.08,2.55,67,7,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2129,0.8195,0.516,1.0149,0.9343
2017020844,2018-02-10,OTT,1,6,3,W,9,3,0.327,2.59,3.45,41,3,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.166,0.7617,0.4718,0.9857,0.9082
2017020861,2018-02-12,TBL,1,4,3,W,7,2,0.686,3.59,2.59,73,6,65,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.247,0.7595,0.518,1.0191,0.9293
2017020876,2018-02-14,CBJ,1,6,3,W,9,2,0.509,2.7,2.84,62,3,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1713,0.751,0.5143,1.003,0.9281
2017020899,2018-02-17,PIT,0,3,5,L,8,3,0.559,3.14,2.97,70,8,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2566,0.804,0.5208,0.9861,0.9104
2017020909,2018-02-18,DET,0,3,2,W,5,1,0.411,2.68,3.04,55,4,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1752,0.7752,0.4883,0.9956,0.9197
2017020918,2018-02-20,FLA,1,1,0,W,1,2,0.463,2.93,3.24,56,6,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1888,0.8018,0.4918,1.0,0.9236
2017020930,2018-02-22,NYI,1,4,3,W,7,2,0.475,3.34,3.63,62,4,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.232,0.7319,0.4749,1.0049,0.9166
2017020948,2018-02-24,BOS,1,4,3,W,7,2,0.636,3.36,2.42,78,8,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.25,0.8244,0.5314,1.002,0.9224
2017020966,2018-02-26,TBL,0,3,4,L,7,2,0.672,3.59,2.67,81,6,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.247,0.7595,0.518,1.0191,0.9293
2017020972,2018-02-27,FLA,0,2,3,L,5,1,0.463,2.93,3.24,56,6,75,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1888,0.8018,0.4918,1.0,0.9236
2017021005,2018-03-03,WSH,0,2,5,L,7,4,0.562,3.09,2.98,79,4,85,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2414,0.7936,0.4817,1.0174,0.9261
2017021015,2018-03-05,BUF,0,3,5,L,8,2,0.312,2.39,3.23,51,5,85,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1907,0.7787,0.476,0.9775,0.9161
2017021055,2018-03-10,PIT,1,5,2,W,7,5,0.569,3.29,3.03,87,5,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2566,0.804,0.5208,0.9861,0.9104
2017021078,2018-03-14,DAL,1,6,5,W,11,4,0.535,2.89,2.68,83,3,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1926,0.8078,0.5102,1.0038,0.927
2017021083,2018-03-15,BUF,0,5,2,W,7,1,0.314,2.39,3.27,56,5,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1907,0.7787,0.476,0.9775,0.9161
2017021101,2018-03-17,MTL,1,4,0,W,4,2,0.366,2.56,3.18,64,3,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2,0.8,0.5,1.0,0.91
2017021127,2018-03-20,TBL,0,3,4,L,7,3,0.686,3.67,2.83,100,8,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.247,0.7595,0.518,1.0191,0.9293
2017021142,2018-03-22,NSH,0,5,2,W,7,2,0.657,3.26,2.51,102,9,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2129,0.8195,0.516,1.0149,0.9343
2017021153,2018-03-24,DET,1,4,3,W,7,2,0.371,2.59,3.07,63,2,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1752,0.7752,0.4883,0.9956,0.9197
2017021168,2018-03-26,BUF,1,2,3,L,5,2,0.314,2.39,3.27,56,5,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1907,0.7787,0.476,0.9775,0.9161
2017021186,2018-03-28,FLA,1,4,3,W,7,2,0.515,3.06,3.12,77,8,91,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.1888,0.8018,0.4918,1.0,0.9236
2017021200,2018-03-30,NYI,0,5,4,W,9,2,0.405,3.2,3.65,74,2,101,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.232,0.7319,0.4749,1.0049,0.9166
2017021209,2018-03-31,WPG,1,1,3,L,4,1,0.615,3.33,2.65,106,7,101,0.251,0.8016,0.4966,0.4854,1.0168,31.88,33.94,0.5169,0.927,0.0898,0.4693,0.2353,0.8101,0.5182,1.0085,0.9262
